"fl_id,""eta"",""etd"",""landing"",""airborne"",""checkin_open"",""seat_f"",""seat_j"",""seat_y"",""book_load_f"",""book_load_j"",""book_load_y"",""final_f"",""final_j"",""final_y"",""final_a"",""final_c"",""final_i"",""bag_pcs"",""bag_kg"",""counter_no"",""counter_island"",""controller_id"",""supervisor_id"",""checkin_total_staff_deploy"",""checkin_closed"",""boardingstart"",""gate_f"",""gate_j"",""gate_y"",""gate_a"",""gate_c"",""gate_i"",""gate_staff_deploy"",""gate_no"",""boarding_finish"",""chock_on"",""chock_off"",""pax_door_open"",""pax_door_close"",""cargo_door_open"",""cargo_door_close"",""unloading_start"",""unloading_finish"",""loading_start"",""loading_finish"""
"113,""2025-09-27 15:30:00.000"",""2025-09-29 12:30:00.000"",""2025-09-27 14:55:00.000"",""2025-09-29 12:26:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-27 15:00:00.000"",""2025-09-29 12:13:00.000"",""2025-09-27 15:02:00.000"",""2025-09-29 12:09:00.000"",""2025-09-27 15:04:00.000"",""2025-09-29 11:30:00.000"",""2025-09-27 15:06:00.000"",""2025-09-27 15:30:00.000"",""2025-09-29 09:45:00.000"",""2025-09-29 09:59:00.000"""
"114,""2025-09-29 11:30:00.000"",""2025-09-29 12:15:00.000"",""2025-09-29 11:24:00.000"",""2025-09-29 12:22:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 11:34:00.000"",""2025-09-29 12:12:00.000"",""2025-09-29 11:35:00.000"",""2025-09-29 12:11:00.000"",""2025-09-29 11:36:00.000"",""2025-09-29 12:05:00.000"",""2025-09-29 11:37:00.000"",""2025-09-29 11:42:00.000"",""2025-09-29 11:44:00.000"",""2025-09-29 11:55:00.000"""
"115,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"116,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"117,""2025-09-29 11:16:00.000"",""2025-09-29 12:15:00.000"",""2025-09-29 11:10:00.000"",""2025-09-29 12:37:00.000"",""2025-09-29 09:15:00.000"",""0"",""12"",""162"",""0"",""8"",""161"",""0"",""8"",""161"",""156"",""10"",""3"",""168"",""2243"",""4"",""C"",""1911177"",""1912543"",""8"",""2025-09-29 11:15:00.000"",""2025-09-29 11:40:00.000"",""0"",""8"",""158"",""156"",""10"",""3"",""3"",""6"",""2025-09-29 12:12:00.000"",""2025-09-29 11:16:00.000"",""2025-09-29 12:15:00.000"",""2025-09-29 11:18:00.000"",""2025-09-29 12:13:00.000"",""2025-09-29 11:18:00.000"",""2025-09-29 12:06:00.000"",""2025-09-29 11:19:00.000"",""2025-09-29 11:39:00.000"",""2025-09-29 11:40:00.000"",""2025-09-29 11:58:00.000"""
"118,""2025-09-29 14:00:00.000"",""2025-09-29 14:45:00.000"",""2025-09-29 13:58:00.000"",""2025-09-29 15:40:00.000"",""2025-09-29 11:25:00.000"",""0"",""0"",""174"",""0"",""0"",""156"",""0"",""0"",""155"",""147"",""5"",""3"",""138"",""1719"",""4"",""E19-E22"",""2201034"",""2207566"",""5"",""2025-09-29 14:00:00.000"",""2025-09-29 14:20:00.000"",""0"",""0"",""155"",""147"",""5"",""3"",""4"",""G11/U1"",""2025-09-29 14:38:00.000"",""2025-09-29 14:06:00.000"",""2025-09-29 15:10:00.000"",""2025-09-29 14:08:00.000"",""2025-09-29 14:47:00.000"",""2025-09-29 14:07:00.000"",""2025-09-29 14:41:00.000"",""2025-09-29 14:08:00.000"",""2025-09-29 14:23:00.000"",""2025-09-29 14:24:00.000"",""2025-09-29 14:40:00.000"""
"119,""2025-09-29 11:11:00.000"",""2025-09-29 12:10:00.000"",""2025-09-29 11:09:00.000"",""2025-09-29 12:27:00.000"",""2025-09-29 09:10:00.000"","""",""36"",""301"","""",""31"",""273"","""",""31"",""274"",""290"",""15"",""4"",""307"",""4846"",""17"",""B & C"",""2208867"",""1008006"",""20"",""2025-09-29 11:10:00.000"",""2025-09-29 11:46:00.000"",""0"",""31"",""274"",""290"",""15"",""4"",""7"",""4"",""2025-09-29 12:02:00.000"",""2025-09-29 11:13:00.000"",""2025-09-29 12:13:00.000"",""2025-09-29 11:15:00.000"",""2025-09-29 12:09:00.000"",""2025-09-29 11:16:00.000"",""2025-09-29 12:04:00.000"",""2025-09-29 11:18:00.000"",""2025-09-29 11:33:00.000"",""2025-09-29 11:35:00.000"",""2025-09-29 11:56:00.000"""
"120,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"121,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"122,""2025-09-29 12:30:00.000"",""2025-09-29 13:10:00.000"",""2025-09-29 12:23:00.000"",""2025-09-29 13:28:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 12:33:00.000"",""2025-09-29 13:12:00.000"",""2025-09-29 12:35:00.000"",""2025-09-29 12:57:00.000"",""2025-09-29 12:35:00.000"",""2025-09-29 12:56:00.000"",""2025-09-29 12:36:00.000"",""2025-09-29 12:51:00.000"",""2025-09-29 12:44:00.000"",""2025-09-29 12:55:00.000"""
"123,""2025-09-29 10:30:00.000"",""2025-09-29 11:40:00.000"",""2025-09-29 10:26:00.000"",""2025-09-29 11:43:00.000"",""2025-09-29 08:30:00.000"",""0"",""12"",""162"",""0"",""4"",""113"",""0"",""4"",""113"",""113"",""0"",""0"",""186"",""2179"",""3"",""B"",""19715169"",""2408761"",""3"",""2025-09-29 11:00:00.000"",""2025-09-29 11:12:00.000"",""0"",""4"",""113"",""112"",""5"",""0"",""4"",""1D"",""2025-09-29 11:26:00.000"",""2025-09-29 10:32:00.000"",""2025-09-29 11:32:00.000"",""2025-09-29 10:34:00.000"",""2025-09-29 11:30:00.000"",""2025-09-29 10:33:00.000"",""2025-09-29 11:24:00.000"",""2025-09-29 10:34:00.000"",""2025-09-29 10:57:00.000"",""2025-09-29 10:52:00.000"",""2025-09-29 11:11:00.000"""
"124,""2025-09-29 11:20:00.000"",""2025-09-29 11:45:00.000"",""2025-09-29 10:54:00.000"",""2025-09-29 11:49:00.000"",""2025-09-29 09:00:00.000"",""0"",""0"",""95"",""0"",""0"",""93"",""0"",""0"",""90"",""89"",""1"",""0"",""106"",""1282"",""4"",""E14-18"",""2406361"",""1107027"",""5"",""2025-09-29 11:15:00.000"",""2025-09-29 11:26:00.000"",""0"",""0"",""90"",""89"",""1"",""0"",""4"",""26"",""2025-09-29 11:37:00.000"",""2025-09-29 11:09:00.000"",""2025-09-29 11:40:00.000"",""2025-09-29 11:11:00.000"",""2025-09-29 11:38:00.000"",""2025-09-29 11:09:00.000"",""2025-09-29 11:32:00.000"",""2025-09-29 11:10:00.000"",""2025-09-29 11:20:00.000"",""2025-09-29 11:20:00.000"",""2025-09-29 11:31:00.000"""
"125,""2025-09-29 10:33:00.000"",""2025-09-29 11:30:00.000"",""2025-09-29 10:39:00.000"",""2025-09-29 11:37:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:42:00.000"",""2025-09-29 11:26:00.000"",""2025-09-29 10:44:00.000"",""2025-09-29 11:25:00.000"",""2025-09-29 10:43:00.000"",""2025-09-29 11:20:00.000"",""2025-09-29 10:44:00.000"",""2025-09-29 10:57:00.000"",""2025-09-29 10:58:00.000"",""2025-09-29 11:04:00.000"""
"126,""2025-09-29 10:10:00.000"",""2025-09-29 11:40:00.000"",""2025-09-29 10:15:00.000"",""2025-09-29 11:41:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:18:00.000"",""2025-09-29 11:29:00.000"",""2025-09-29 10:20:00.000"",""2025-09-29 11:26:00.000"","""","""","""","""","""","""""
"127,""2025-09-29 10:40:00.000"",""2025-09-29 11:35:00.000"",""2025-09-29 10:47:00.000"",""2025-09-29 11:51:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:50:00.000"",""2025-09-29 11:35:00.000"",""2025-09-29 10:53:00.000"",""2025-09-29 11:33:00.000"",""2025-09-29 10:52:00.000"",""2025-09-29 11:30:00.000"",""2025-09-29 10:53:00.000"",""2025-09-29 11:02:00.000"",""2025-09-29 11:04:00.000"",""2025-09-29 11:29:00.000"""
"128,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"129,""2025-09-29 10:45:00.000"",""2025-09-29 11:20:00.000"",""2025-09-29 10:43:00.000"",""2025-09-29 11:32:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:48:00.000"",""2025-09-29 11:22:00.000"",""2025-09-29 10:51:00.000"",""2025-09-29 11:21:00.000"",""2025-09-29 10:50:00.000"",""2025-09-29 11:21:00.000"",""2025-09-29 10:52:00.000"",""2025-09-29 11:12:00.000"",""2025-09-29 11:15:00.000"",""2025-09-29 11:20:00.000"""
"130,""2025-09-29 09:59:00.000"",""2025-09-29 11:15:00.000"",""2025-09-29 09:51:00.000"",""2025-09-29 11:29:00.000"",""2025-09-29 07:15:00.000"",""0"",""42"",""211"",""0"",""40"",""194"",""0"",""40"",""192"",""217"",""15"",""3"",""211"",""2992"",""12"",""C"",""9311144"",""1001008"",""17"",""2025-09-29 10:15:00.000"",""2025-09-29 10:40:00.000"",""0"",""40"",""192"",""217"",""15"",""3"",""6"",""8"",""2025-09-29 11:02:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 11:14:00.000"",""2025-09-29 10:04:00.000"",""2025-09-29 11:04:00.000"",""2025-09-29 10:03:00.000"",""2025-09-29 11:05:00.000"",""2025-09-29 10:05:00.000"",""2025-09-29 10:18:00.000"",""2025-09-29 10:19:00.000"",""2025-09-29 10:35:00.000"""
"131,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:21:00.000"",""2025-09-29 11:10:00.000"",""2025-09-29 10:22:00.000"",""2025-09-29 10:33:00.000"",""2025-09-29 10:37:00.000"",""2025-09-29 11:02:00.000"""
"132,""2025-09-29 10:21:00.000"",""2025-09-29 11:05:00.000"",""2025-09-29 10:21:00.000"",""2025-09-29 11:16:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:31:00.000"",""2025-09-29 11:08:00.000"",""2025-09-29 10:33:00.000"",""2025-09-29 11:06:00.000"",""2025-09-29 10:32:00.000"",""2025-09-29 10:54:00.000"",""2025-09-29 10:33:00.000"",""2025-09-29 10:40:00.000"",""2025-09-29 10:41:00.000"",""2025-09-29 10:51:00.000"""
"133,""2025-09-29 11:10:00.000"",""2025-09-29 13:00:00.000"",""2025-09-29 10:10:00.000"",""2025-09-29 14:27:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 10:12:00.000"",""2025-09-29 14:07:00.000"",""2025-09-29 10:14:00.000"",""2025-09-29 14:06:00.000"",""2025-09-29 10:17:00.000"",""2025-09-29 14:04:00.000"",""2025-09-29 10:18:00.000"",""2025-09-29 10:30:00.000"",""2025-09-29 13:13:00.000"",""2025-09-29 13:20:00.000"""
"134,""2025-09-29 09:59:00.000"",""2025-09-29 11:10:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 11:32:00.000"",""2025-09-29 08:10:00.000"",""0"",""12"",""162"",""0"",""2"",""165"",""0"",""2"",""164"",""156"",""8"",""2"",""169"",""1919"",""4"",""C"",""1911177"",""1912543"",""4"",""2025-09-29 11:00:00.000"",""2025-09-29 10:40:00.000"",""0"",""2"",""162"",""162"",""8"",""2"",""3"",""5"",""2025-09-29 11:00:00.000"",""2025-09-29 10:12:00.000"",""2025-09-29 11:14:00.000"",""2025-09-29 10:14:00.000"",""2025-09-29 11:04:00.000"",""2025-09-29 10:14:00.000"",""2025-09-29 10:52:00.000"",""2025-09-29 10:15:00.000"",""2025-09-29 10:31:00.000"",""2025-09-29 10:27:00.000"",""2025-09-29 10:50:00.000"""
"135,""2025-09-29 09:50:00.000"",""2025-09-29 11:00:00.000"",""2025-09-29 09:42:00.000"",""2025-09-29 11:13:00.000"",""2025-09-29 08:00:00.000"",""0"",""0"",""195"",""0"",""0"",""170"",""0"",""0"",""171"",""155"",""12"",""4"",""171"",""2081"",""4"",""r"",""2405350"",""1107027"",""4"",""2025-09-29 10:00:00.000"",""2025-09-29 10:35:00.000"",""0"",""0"",""171"",""155"",""12"",""1"",""5"",""4"",""2025-09-29 10:58:00.000"",""2025-09-29 09:52:00.000"",""2025-09-29 11:02:00.000"",""2025-09-29 09:54:00.000"",""2025-09-29 10:59:00.000"",""2025-09-29 09:53:00.000"",""2025-09-29 10:57:00.000"",""2025-09-29 09:54:00.000"",""2025-09-29 10:22:00.000"",""2025-09-29 10:23:00.000"",""2025-09-29 10:53:00.000"""
"136,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"137,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"138,""2025-09-29 08:56:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 08:56:00.000"",""2025-09-29 11:18:00.000"",""2025-09-29 06:00:00.000"",""0"",""12"",""393"",""0"",""24"",""357"",""0"",""12"",""364"",""357"",""23"",""1"",""537"",""7036"",""7"",""B"",""2204321"",""1710933"",""10"",""2025-09-29 09:35:00.000"",""2025-09-29 10:19:00.000"",""0"",""12"",""364"",""353"",""23"",""1"",""4"",""7"",""2025-09-29 10:48:00.000"",""2025-09-29 09:12:00.000"",""2025-09-29 11:07:00.000"",""2025-09-29 09:15:00.000"",""2025-09-29 10:55:00.000"",""2025-09-29 09:15:00.000"",""2025-09-29 10:50:00.000"",""2025-09-29 09:17:00.000"",""2025-09-29 09:45:00.000"",""2025-09-29 09:45:00.000"",""2025-09-29 10:29:00.000"""
"139,""2025-09-29 10:00:00.000"",""2025-09-29 10:30:00.000"",""2025-09-29 09:40:00.000"",""2025-09-29 10:44:00.000"",""2025-09-29 08:00:00.000"",""0"",""0"",""174"","""","""","""",""0"",""0"",""151"",""141"",""7"",""3"",""117"",""1535"",""4"",""E14-18"",""2406361"",""1107027"",""5"",""2025-09-29 10:00:00.000"",""2025-09-29 10:09:00.000"",""0"",""0"",""151"",""141"",""7"",""3"",""4"",""18"",""2025-09-29 10:25:00.000"",""2025-09-29 09:54:00.000"",""2025-09-29 10:29:00.000"",""2025-09-29 09:57:00.000"",""2025-09-29 10:27:00.000"",""2025-09-29 09:54:00.000"",""2025-09-29 10:25:00.000"",""2025-09-29 09:55:00.000"",""2025-09-29 10:13:00.000"",""2025-09-29 10:13:00.000"",""2025-09-29 10:24:00.000"""
"140,""2025-09-29 09:20:00.000"",""2025-09-29 10:25:00.000"",""2025-09-29 09:20:00.000"",""2025-09-29 10:19:00.000"",""2025-09-29 08:00:00.000"",""95"",""0"",""0"",""94"",""1"",""0"","""","""","""",""94"",""1"",""0"",""85"",""1015"",""3"",""41,43,45"",""2311004"",""906003"",""4"",""2025-09-29 09:54:00.000"",""2025-09-29 09:50:00.000"",""0"",""0"",""95"",""94"",""1"",""0"",""3"",""4"",""2025-09-29 10:02:00.000"",""2025-09-29 09:25:00.000"",""2025-09-29 10:11:00.000"",""2025-09-29 09:27:00.000"",""2025-09-29 10:09:00.000"",""2025-09-29 09:26:00.000"",""2025-09-29 10:07:00.000"",""2025-09-29 09:28:00.000"",""2025-09-29 09:36:00.000"",""2025-09-29 09:38:00.000"",""2025-09-29 10:02:00.000"""
"141,""2025-09-29 09:05:00.000"",""2025-09-29 10:10:00.000"",""2025-09-29 08:49:00.000"",""2025-09-29 10:13:00.000"",""2025-09-29 07:00:00.000"",""0"",""40"",""263"",""0"",""36"",""252"",""0"",""36"",""251"",""274"",""13"",""1"",""303"",""4003"",""9"",""Dec-20"",""2005322"",""1205224"",""13"",""2025-09-29 09:30:00.000"",""2025-09-29 09:31:00.000"",""0"",""36"",""251"",""274"",""13"",""1"",""9"",""6"",""2025-09-29 09:53:00.000"",""2025-09-29 08:55:00.000"",""2025-09-29 09:59:00.000"",""2025-09-29 08:56:00.000"",""2025-09-29 09:55:00.000"",""2025-09-29 08:57:00.000"",""2025-09-29 09:46:00.000"",""2025-09-29 08:59:00.000"",""2025-09-29 09:16:00.000"",""2025-09-29 09:17:00.000"",""2025-09-29 09:44:00.000"""
"142,""2025-09-29 08:50:00.000"",""2025-09-29 10:05:00.000"",""2025-09-29 08:51:00.000"",""2025-09-29 10:25:00.000"",""2025-09-29 07:05:00.000"",""0"",""36"",""301"",""0"",""28"",""292"",""0"",""29"",""289"",""307"",""9"",""2"",""305"",""4673"",""C01-C12"",""C"",""2303381"",""2103003"",""14"",""2025-09-29 09:05:00.000"",""2025-09-29 09:32:00.000"",""0"",""29"",""287"",""311"",""5"",""2"",""7"",""4"",""2025-09-29 09:51:00.000"",""2025-09-29 08:54:00.000"",""2025-09-29 10:10:00.000"",""2025-09-29 08:56:00.000"",""2025-09-29 10:01:00.000"",""2025-09-29 08:56:00.000"",""2025-09-29 09:53:00.000"",""2025-09-29 08:59:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 09:11:00.000"",""2025-09-29 09:40:00.000"""
"143,""2025-09-29 09:13:00.000"",""2025-09-29 09:50:00.000"",""2025-09-29 09:14:00.000"",""2025-09-29 10:04:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 09:22:00.000"",""2025-09-29 09:56:00.000"",""2025-09-29 09:24:00.000"",""2025-09-29 09:51:00.000"",""2025-09-29 09:24:00.000"",""2025-09-29 09:53:00.000"",""2025-09-29 09:25:00.000"",""2025-09-29 09:30:00.000"",""2025-09-29 09:31:00.000"",""2025-09-29 09:35:00.000"""
"144,""2025-09-29 09:17:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 10:15:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 09:18:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 09:19:00.000"",""2025-09-29 09:58:00.000"",""2025-09-29 09:20:00.000"",""2025-09-29 09:55:00.000"",""2025-09-29 09:21:00.000"",""2025-09-29 09:30:00.000"",""2025-09-29 09:31:00.000"",""2025-09-29 09:48:00.000"""
"145,""2025-09-29 08:58:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 08:58:00.000"",""2025-09-29 10:08:00.000"",""2025-09-29 07:00:00.000"",""0"",""12"",""162"",""0"",""10"",""158"",""0"",""10"",""160"",""168"",""2"",""0"",""172"",""2162"",""3"",""2-Apr"",""1910040"",""1910050"",""4"",""2025-09-29 09:20:00.000"",""2025-09-29 09:30:00.000"",""0"",""10"",""160"",""168"",""2"",""0"",""3"",""5"",""2025-09-29 09:45:00.000"",""2025-09-29 09:05:00.000"",""2025-09-29 09:58:00.000"",""2025-09-29 09:08:00.000"",""2025-09-29 09:57:00.000"",""2025-09-29 09:07:00.000"",""2025-09-29 09:58:00.000"",""2025-09-29 09:08:00.000"",""2025-09-29 09:24:00.000"",""2025-09-29 09:24:00.000"",""2025-09-29 09:42:00.000"""
"146,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"147,""2025-09-29 08:50:00.000"",""2025-09-29 09:40:00.000"",""2025-09-29 08:36:00.000"",""2025-09-29 09:50:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 08:46:00.000"",""2025-09-29 09:40:00.000"",""2025-09-29 08:51:00.000"",""2025-09-29 09:39:00.000"",""2025-09-29 08:48:00.000"",""2025-09-29 09:12:00.000"",""2025-09-29 08:49:00.000"",""2025-09-29 08:54:00.000"",""2025-09-29 08:55:00.000"",""2025-09-29 09:11:00.000"""
"148,""2025-09-29 08:58:00.000"",""2025-09-29 09:35:00.000"",""2025-09-29 08:46:00.000"",""2025-09-29 09:37:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 08:56:00.000"",""2025-09-29 09:27:00.000"",""2025-09-29 08:57:00.000"",""2025-09-29 08:45:00.000"",""2025-09-29 08:57:00.000"",""2025-09-29 09:20:00.000"",""2025-09-29 08:58:00.000"",""2025-09-29 09:05:00.000"",""2025-09-29 09:06:00.000"",""2025-09-29 09:19:00.000"""
"149,""2025-09-29 08:25:00.000"",""2025-09-29 09:25:00.000"",""2025-09-29 08:09:00.000"",""2025-09-29 09:39:00.000"",""2025-09-29 06:25:00.000"",""0"",""42"",""211"",""0"",""40"",""202"",""0"",""41"",""201"",""207"",""34"",""1"",""197"",""2704"",""12"",""C"",""1211410"",""1001008"",""17"",""2025-09-29 08:25:00.000"",""2025-09-29 08:53:00.000"",""0"",""41"",""200"",""206"",""35"",""1"",""6"",""6"",""2025-09-29 09:01:00.000"",""2025-09-29 08:17:00.000"",""2025-09-29 09:22:00.000"",""2025-09-29 08:20:00.000"",""2025-09-29 09:16:00.000"",""2025-09-29 08:19:00.000"",""2025-09-29 09:17:00.000"",""2025-09-29 08:22:00.000"",""2025-09-29 08:37:00.000"",""2025-09-29 08:38:00.000"",""2025-09-29 08:50:00.000"""
"150,""2025-09-29 08:38:00.000"",""2025-09-29 09:20:00.000"",""2025-09-29 08:24:00.000"",""2025-09-29 09:18:00.000"",""2025-09-29 06:20:00.000"",""0"",""12"",""162"",""0"",""2"",""74"",""0"",""2"",""73"",""61"",""12"",""2"",""85"",""1121"",""5"",""C"",""2107244"",""2305497"",""5"",""2025-09-29 08:20:00.000"",""2025-09-29 08:51:00.000"",""0"",""2"",""73"",""63"",""12"",""2"",""5"",""3"",""2025-09-29 09:02:00.000"",""2025-09-29 08:34:00.000"",""2025-09-29 09:08:00.000"",""2025-09-29 08:36:00.000"",""2025-09-29 09:06:00.000"",""2025-09-29 08:38:00.000"",""2025-09-29 09:00:00.000"",""2025-09-29 08:39:00.000"",""2025-09-29 08:51:00.000"",""2025-09-29 08:52:00.000"",""2025-09-29 08:57:00.000"""
"151,""2025-09-29 08:15:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 08:15:00.000"",""2025-09-29 09:34:00.000"",""2025-09-29 06:10:00.000"",""0"",""12"",""162"",""0"",""5"",""163"",""0"",""4"",""162"",""165"",""1"",""0"",""187"",""3321"",""4"",""C"",""1912456"",""1912543"",""4"",""2025-09-29 08:10:00.000"",""2025-09-29 08:45:00.000"",""0"",""4"",""162"",""165"",""1"",""0"",""3"",""5"",""2025-09-29 09:05:00.000"",""2025-09-29 08:25:00.000"",""2025-09-29 09:17:00.000"",""2025-09-29 08:27:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 08:26:00.000"",""2025-09-29 09:06:00.000"",""2025-09-29 08:27:00.000"",""2025-09-29 08:45:00.000"",""2025-09-29 08:46:00.000"",""2025-09-29 09:05:00.000"""
"152,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"153,""2025-09-29 07:25:00.000"",""2025-09-29 09:10:00.000"",""2025-09-29 07:36:00.000"",""2025-09-29 09:08:00.000"",""2025-09-29 07:00:00.000"",""174"",""0"",""0"",""170"",""4"",""2"","""","""","""",""168"",""4"",""2"",""154"",""1964"",""5"",""41-45"",""2311004"",""906003"",""6"",""2025-09-29 08:43:00.000"",""2025-09-29 08:26:00.000"",""0"",""0"",""173"",""167"",""4"",""2"",""3"",""2"",""2025-09-29 08:50:00.000"",""2025-09-29 07:40:00.000"",""2025-09-29 08:59:00.000"",""2025-09-29 07:43:00.000"",""2025-09-29 08:55:00.000"",""2025-09-29 07:44:00.000"",""2025-09-29 08:58:00.000"",""2025-09-29 07:45:00.000"",""2025-09-29 08:05:00.000"",""2025-09-29 08:20:00.000"",""2025-09-29 08:55:00.000"""
"154,""2025-09-28 21:50:00.000"",""2025-09-29 09:05:00.000"",""2025-09-28 21:11:00.000"",""2025-09-29 09:11:00.000"",""2025-09-29 05:59:00.000"",""0"",""0"",""174"",""0"",""0"",""132"",""0"",""0"",""124"",""119"",""5"",""0"",""83"",""1211"",""4"",""D8-12"",""2404135"",""2302249"",""4"",""2025-09-29 08:05:00.000"",""2025-09-29 08:31:00.000"","""","""",""124"",""119"",""5"",""0"",""3"",""6B"",""2025-09-29 08:42:00.000"",""2025-09-28 21:13:00.000"",""2025-09-29 08:59:00.000"",""2025-09-28 21:15:00.000"",""2025-09-29 08:58:00.000"",""2025-09-28 21:17:00.000"",""2025-09-29 08:43:00.000"",""2025-09-28 21:19:00.000"",""2025-09-28 21:35:00.000"",""2025-09-29 08:18:00.000"",""2025-09-29 08:42:00.000"""
"155,""2025-09-29 07:25:00.000"",""2025-09-29 09:00:00.000"",""2025-09-29 07:29:00.000"",""2025-09-29 09:36:00.000"",""2025-09-29 06:00:00.000"",""0"",""36"",""247"",""0"",""32"",""247"",""0"",""32"",""236"",""263"",""4"",""1"",""311"",""5726"",""8"",""B"",""1810798"",""1405404"",""12"",""2025-09-29 08:08:00.000"",""2025-09-29 08:39:00.000"",""0"",""32"",""235"",""263"",""4"",""1"",""5"",""8"",""2025-09-29 08:53:00.000"",""2025-09-29 07:38:00.000"",""2025-09-29 09:25:00.000"",""2025-09-29 07:41:00.000"",""2025-09-29 09:22:00.000"",""2025-09-29 07:40:00.000"",""2025-09-29 08:56:00.000"",""2025-09-29 07:42:00.000"",""2025-09-29 08:06:00.000"",""2025-09-29 08:07:00.000"",""2025-09-29 08:40:00.000"""
"156,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
